protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_bwd_pkts,totlen_fwd_pkts,fwd_pkt_len_mean,bwd_pkt_len_mean,pkt_size_avg,fwd_pkts_s,bwd_pkts_s,flow_byts_s,ProtocolName
17,90.496501,66,67,14813,38846,588.5757575757576,221.089552238806,403.4511278195488,0.7293099652548998,0.7403601162436104,592.9400519032222,YOUTUBE
6,118.064674,20,21,4411,8046,402.3,210.04761904761904,303.8292682926829,0.1693986805909446,0.1778686146204918,105.50996820606984,YOUTUBE
17,90.184229,50,55,11667,29583,591.66,212.12727272727275,392.8571428571428,0.5544206626194033,0.6098627288813435,457.39704666100766,YOUTUBE
17,7.117358,24,28,10257,19108,796.1666666666666,366.32142857142856,564.7115384615385,3.372037770195064,3.934044065227575,4125.828713407419,YOUTUBE
6,0.010816,5,3,198,432,86.4,66.0,78.75,462.2781065088758,277.3668639053255,58247.041420118345,YOUTUBE
6,120.102245,20,19,3668,7604,380.2,193.05263157894737,289.02564102564105,0.1665247806150501,0.1581985415842976,93.85336635464223,YOUTUBE
17,19.535396,29,30,11351,19294,665.3103448275862,378.3666666666667,519.4067796610169,1.484484880675058,1.5356740144914391,1568.691005803005,YOUTUBE
6,50.992886,6,4,276,459,76.5,69.0,73.5,0.1176634717242715,0.0784423144828476,14.41377528622326,YOUTUBE
6,118.014337,20,19,3668,7832,391.6,193.05263157894737,294.87179487179486,0.1694709347051621,0.160997387969904,97.44578745546823,YOUTUBE
6,0.010596,5,2,132,432,86.4,66.0,80.57142857142857,471.8761796904493,188.7504718761797,53227.63306908267,YOUTUBE
6,118.108061,20,16,4081,7754,387.7,255.0625,328.75,0.1693364519801912,0.135469161584153,100.20484545927818,YOUTUBE
6,0.011143,5,2,132,432,86.4,66.0,80.57142857142857,448.7121959974872,179.48487839899488,50614.73570851656,YOUTUBE
6,117.110654,21,19,3668,7880,375.2380952380952,193.05263157894737,288.7,0.1793175879625776,0.1622397224423322,98.60759551389748,YOUTUBE
6,0.014212,6,5,336,483,80.5,67.2,74.45454545454545,422.1784407542921,351.81536729524345,57627.35716296088,YOUTUBE
6,0.161713,16,17,3458,7244,452.75,203.41176470588235,324.3030303030303,98.94071595975586,105.1245107072406,66178.97138758171,YOUTUBE
