IP Origem,Porta Origem,IP Destino,Porta Destino
35.236.71.176,443,10.42.0.214,41874
10.42.0.214,46274,34.92.0.27,443
10.42.0.214,54636,34.110.138.217,443
10.42.0.214,38810,34.66.112.243,443
10.42.0.214,45840,34.107.243.93,443
10.42.0.214,50586,34.107.243.93,443
10.42.0.214,37474,34.107.243.93,443
10.42.0.214,37480,34.107.243.93,443
10.42.0.214,50594,34.107.243.93,443
10.42.0.214,45846,34.107.243.93,443
10.42.0.214,44113,34.66.112.243,443
10.42.0.214,58046,34.160.144.191,443
10.42.0.214,34562,34.107.243.93,443
